title,english_title,type,episodes,duration,source,season,genres,tags,score,start_date,country_of_origin
Nodame Cantabile OVA,,OVA,1.0,21.0,MANGA,SUMMER,Comedy;Music;Romance;Slice of Life,Josei;Female Protagonist;Male Protagonist;Primarily Adult Cast;Foreign;Heterosexual;Primarily Male Cast,70.0,2009-08-10,JP
REDLINE,Redline,MOVIE,1.0,103.0,ORIGINAL,SUMMER,Action;Romance;Sci-Fi;Sports,Cars;Primarily Adult Cast;Male Protagonist;Space;Cyberpunk;Aliens;Female Protagonist;Cyborg;Crime;Heterosexual,81.0,2009-08-14,JP
Mama Puri!?,Like A Mom,OVA,2.0,30.0,VISUAL_NOVEL,SUMMER,Hentai,Female Harem;Virginity;Inseki;Family Life;Large Breasts;Defloration;MILF;Male Protagonist;Primarily Female Cast;Group Sex,60.0,2009-08-14,JP
Mai Mai Shinko to Sennen no Mahou,Mai-Mai Miracle,MOVIE,1.0,93.0,OTHER,SUMMER,Adventure;Drama;Slice of Life,Primarily Child Cast;Rural;Historical;Female Protagonist;Family Life;Coming of Age;School;Kids;Autobiographical;Yakuza,70.0,2009-08-15,JP
Utsurun Desu.,,OVA,3.0,30.0,OTHER,SUMMER,Comedy,,49.0,2009-08-21,JP
8-gatsu no Symphony: Shibuya 2002-2003,Symphony in August,MOVIE,1.0,112.0,OTHER,SUMMER,Music,Autobiographical;Adoption;Female Protagonist;Urban,58.0,2009-08-22,JP
Hottarake no Shima: Haruka to Mahou no Kagami,Oblivion Island: Haruka and the Magic Mirror,MOVIE,1.0,98.0,ORIGINAL,SUMMER,Adventure;Fantasy,Full CGI;CGI;Female Protagonist;Isekai;Magic;Bullying,69.0,2009-08-22,JP
Yatterman: Shin Yattermecha Daishuugou! Omocha no Kuni de Daikessen da Koron!,,MOVIE,1.0,94.0,OTHER,SUMMER,Comedy,Kids;Parody;Superhero;Slapstick;Robots;Female Protagonist;Male Protagonist,50.0,2009-08-22,JP
Choukou Sennin Haruka,Beat Blades Haruka,OVA,3.0,28.0,VISUAL_NOVEL,SUMMER,Hentai,Large Breasts;School;Futanari;Yuri;Female Harem;Male Protagonist;Tentacles;Primarily Female Cast;LGBTQ+ Themes;Bisexual,51.0,2009-08-25,JP
Shinjuku Shin-chan: Yoiko no Koutsuu Anzen,,ONA,1.0,15.0,OTHER,SUMMER,,Kids,43.0,2009-08-25,JP
Hagane no Renkinjutsushi: FULLMETAL ALCHEMIST Mihousou Episode,Fullmetal Alchemist: Brotherhood OVA Collection,OVA,4.0,15.0,MANGA,SUMMER,Adventure;Drama;Fantasy,Magic;Military;Shounen;Philosophy;Steampunk;Kuudere;War;Tomboy;Male Protagonist;Cyborg,77.0,2009-08-26,JP
Kurogane no Linebarrels OVA,Linebarrels of Iron OVA,OVA,2.0,23.0,MANGA,SUMMER,Action;Comedy;Ecchi;Mecha,Gender Bending;E-Sports;Mahjong;Achronological Order,55.0,2009-08-26,JP
Ayatsuri Haramase DreamNote,,OVA,2.0,30.0,VISUAL_NOVEL,SUMMER,Hentai,Rape;Defloration;Nakadashi;Public Sex;College;MILF;Threesome;Male Protagonist;Primarily Female Cast;Large Breasts,54.0,2009-08-28,JP
Triangle BLUE,,OVA,2.0,30.0,VISUAL_NOVEL,SUMMER,Hentai,Love Triangle;Netorare;Nakadashi;Large Breasts,53.0,2009-08-28,JP
Kidou Senshi Gundam Battlefield Record: Avant-Title,,ONA,1.0,7.0,OTHER,FALL,Mecha;Sci-Fi,Space,57.0,2009-09-03,JP
Ginga Tetsudou 999: Diamond Ring no Kanata e,Galaxy Express 999: Beyond the Diamond Ring,MOVIE,1.0,16.0,OTHER,FALL,Adventure;Drama;Sci-Fi,Trains,51.0,2009-09-09,JP
Tonari no 801-chan R,,OVA,1.0,1.0,MANGA,FALL,Comedy;Music,Primarily Adult Cast;Otaku Culture;Josei,49.0,2009-09-10,JP
Soukan Yuugi 2,Sexual Pursuit 2,OVA,2.0,30.0,VISUAL_NOVEL,FALL,Hentai,Incest;Virginity;Video Games;MILF;Threesome;Defloration;Squirting;Male Protagonist;Boobjob;Cunnilingus,56.0,2009-09-11,JP
Yona Yona Penguin,,MOVIE,1.0,90.0,OTHER,SUMMER,Adventure;Fantasy,Kids;Full CGI;Goblin,45.0,2009-09-12,JP
Battle Spirits: Shounen Gekiha Dan,,TV,50.0,23.0,OTHER,FALL,Action;Adventure,Card Battle;Kids;Isekai,66.0,2009-09-13,JP
Mahou Sensei Negima! Mou Hitotsu no Sekai,,OVA,4.0,29.0,MANGA,FALL,Action;Adventure;Ecchi;Supernatural,Magic;Shounen;Isekai;Urban Fantasy;Card Battle;Teacher;Primarily Female Cast;School;Surreal Comedy;Kuudere,72.0,2009-09-17,JP
Penguin no Mondai Movie,,MOVIE,1.0,23.0,OTHER,FALL,Comedy,Kids,73.0,2009-09-19,JP
Duel Masters Movie 2: Lunatic God Saga,,MOVIE,1.0,71.0,ORIGINAL,FALL,Action;Adventure;Comedy,,45.0,2009-09-19,JP
Queen's Blade: Gyokuza wo Tsugu Mono,Queen's Blade 2: The Evil Eye,TV,12.0,24.0,OTHER,FALL,Action;Adventure;Ecchi;Fantasy,Nudity;LGBTQ+ Themes;Maids;Ninja;Elf;Nun;Monster Girl;Female Protagonist;Yuri;Primarily Female Cast,60.0,2009-09-24,JP
